nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,source_class,delayed_posting,expanded_access_nctid,expanded_access_status_for_nctid,fdaaa801_violation,baseline_type_units_analyzed
NCT02863419,,08-08-2016,15-10-2019,31-07-2018,11-07-2022,08-08-2016,11-08-2016,Estimate,15-10-2019,07-11-2019,Actual,31-07-2018,01-08-2018,Actual,11-07-2022,20-07-2022,Actual,"August 10, 2016",Actual,10-08-2016,Jul-22,31-07-2022,"March 30, 2018",Actual,30-03-2018,"August 19, 2017",Actual,19-08-2017,,Interventional,PIONEER 4,Full analysis set (FAS) included all randomised participants.,Efficacy and Safety of Oral Semaglutide Versus Liraglutide and Versus Placebo in Subjects With Type 2 Diabetes Mellitus,Efficacy and Safety of Oral Semaglutide Versus Liraglutide and Versus Placebo in Subjects With Type 2 Diabetes Mellitus,Completed,,Phase 3,711,Actual,Novo Nordisk A/S,,3,,,FALSE,,,,FALSE,TRUE,FALSE,,,,,,,,,,,2022-12-11 18:55:44.830,2022-12-11 18:55:44.830,INDUSTRY,,,,,
NCT02906930,,15-09-2016,15-10-2019,08-10-2018,11-07-2022,15-09-2016,20-09-2016,Estimate,14-02-2020,17-02-2020,Actual,08-10-2018,10-10-2018,Actual,11-07-2022,20-07-2022,Actual,"September 20, 2016",Actual,20-09-2016,Jul-22,31-07-2022,"December 8, 2017",Actual,08-12-2017,"October 30, 2017",Actual,30-10-2017,,Interventional,PIONEER 1,,Efficacy and Safety of Oral Semaglutide Versus Placebo in Subjects With Type 2 Diabetes Mellitus Treated With Diet and Exercise Only,Efficacy and Safety of Oral Semaglutide Versus Placebo in Subjects With Type 2 Diabetes Mellitus Treated With Diet and Exercise Only.,Completed,,Phase 3,703,Actual,Novo Nordisk A/S,,4,,,FALSE,,,,FALSE,TRUE,FALSE,,,,,,,,,Yes,According to the Novo Nordisk disclosure commitment on novonordisk-trials.com,2022-12-11 17:36:23.336,2022-12-11 17:36:23.336,INDUSTRY,,,,,
NCT03730662,,02-11-2018,21-01-2022,,21-01-2022,02-11-2018,05-11-2018,Actual,21-01-2022,14-02-2022,Actual,,,,21-01-2022,14-02-2022,Actual,"November 20, 2018",Actual,20-11-2018,Jan-22,31-01-2022,"April 22, 2021",Actual,22-04-2021,"January 22, 2021",Actual,22-01-2021,,Interventional,SURPASS-4,All randomized participants.,A Study of Tirzepatide (LY3298176) Once a Week Versus Insulin Glargine Once a Day in Participants With Type 2 Diabetes and Increased Cardiovascular Risk,Efficacy and Safety of LY3298176 Once Weekly Versus Insulin Glargine in Patients With Type 2 Diabetes and Increased Cardiovascular Risk (SURPASS-4),Completed,,Phase 3,2002,Actual,Eli Lilly and Company,,4,,,FALSE,,,,FALSE,TRUE,FALSE,,,,,,"Data are available 6 months after the primary publication and approval of the indication studied in the US and EU, whichever is later. Data will be indefinitely available for requesting.",A research proposal must be approved by an independent review panel and researchers must sign a data sharing agreement.,https://vivli.org/,Yes,Anonymized individual patient level data will be provided in a secure access environment upon approval of a research proposal and a signed data sharing agreement.,2022-11-29 11:23:25.323,2022-11-29 11:23:25.323,INDUSTRY,,,,,
NCT03882970,,19-03-2019,02-12-2021,,14-01-2022,19-03-2019,20-03-2019,Actual,14-01-2022,19-01-2022,Actual,,,,14-01-2022,19-01-2022,Actual,"April 1, 2019",Actual,01-04-2019,Jan-22,31-01-2022,"January 4, 2021",Actual,04-01-2021,"December 11, 2020",Actual,11-12-2020,,Interventional,SURPASS-3,All randomized participants.,A Study of Tirzepatide (LY3298176) Versus Insulin Degludec in Participants With Type 2 Diabetes,"A Randomized, Phase 3, Open-Label Trial Comparing the Effect of LY3298176 Versus Titrated Insulin Degludec on Glycemic Control in Patients With Type 2 Diabetes",Completed,,Phase 3,1444,Actual,Eli Lilly and Company,,4,,,FALSE,,,,TRUE,TRUE,FALSE,,,,,,"Data are available 6 months after the primary publication and approval of the indication studied in the US and EU, whichever is later. Data will be indefinitely available for requesting.",A research proposal must be approved by an independent review panel and researchers must sign a data sharing agreement.,https://vivli.org/,Yes,Anonymized individual patient level data will be provided in a secure access environment upon approval of a research proposal and a signed data sharing agreement.,2022-12-01 08:32:21.474,2022-12-01 08:32:21.474,INDUSTRY,,,,,
NCT03954834,,15-05-2019,15-09-2021,,18-10-2021,16-05-2019,17-05-2019,Actual,18-10-2021,20-10-2021,Actual,,,,18-10-2021,20-10-2021,Actual,"June 3, 2019",Actual,03-06-2019,Oct-21,31-10-2021,"October 28, 2020",Actual,28-10-2020,"October 5, 2020",Actual,05-10-2020,,Interventional,SURPASS-1,All randomized participants.,A Study of Tirzepatide (LY3298176) in Participants With Type 2 Diabetes Not Controlled With Diet and Exercise Alone,"A Randomized, Double-blind, Placebo-Controlled Trial Comparing the Efficacy and Safety of Three Tirzepatide Doses Versus Placebo in Patients With Type 2 Diabetes, Inadequately Controlled With Diet and Exercise Alone",Completed,,Phase 3,478,Actual,Eli Lilly and Company,,4,,,FALSE,,,,FALSE,TRUE,FALSE,,,,,,"Data are available 6 months after the primary publication and approval of the indication studied in the US and EU, whichever is later. Data will be indefinitely available for requesting.",A research proposal must be approved by an independent review panel and researchers must sign a data sharing agreement.,http://www.clinicalstudydatarequest.com,Yes,Anonymized individual patient level data will be provided in a secure access environment upon approval of a research proposal and a signed data sharing agreement.,2022-12-10 19:28:49.181,2022-12-10 19:28:49.181,INDUSTRY,,,,,
NCT03987919,,14-06-2019,21-01-2022,,21-01-2022,14-06-2019,17-06-2019,Actual,21-01-2022,14-02-2022,Actual,,,,21-01-2022,14-02-2022,Actual,"July 30, 2019",Actual,30-07-2019,Jul-21,31-07-2021,"February 15, 2021",Actual,15-02-2021,"January 28, 2021",Actual,28-01-2021,,Interventional,SURPASS-2,All randomized participants who received at least one dose of study drug.,A Study of Tirzepatide (LY3298176) Versus Semaglutide Once Weekly as Add-on Therapy to Metformin in Participants With Type 2 Diabetes,"A Phase 3, Randomized, Open-Label Trial Comparing Efficacy and Safety of Tirzepatide Versus Semaglutide Once Weekly as Add-on Therapy to Metformin in Patients With Type 2 Diabetes",Completed,,Phase 3,1879,Actual,Eli Lilly and Company,,4,,,FALSE,,,,FALSE,TRUE,FALSE,,,,,,"Data are available 6 months after the primary publication and approval of the indication studied in the US and EU, whichever is later. Data will be indefinitely available for requesting.",A research proposal must be approved by an independent review panel and researchers must sign a data sharing agreement.,https://vivli.org/,Yes,Anonymized individual patient level data will be provided in a secure access environment upon approval of a research proposal and a signed data sharing agreement.,2022-11-29 11:22:58.267,2022-11-29 11:22:58.267,INDUSTRY,,,,,
NCT05259033,,10-02-2022,,,13-12-2022,17-02-2022,28-02-2022,Actual,,,,,,,13-12-2022,14-12-2022,Estimate,"April 11, 2022",Actual,11-04-2022,Dec-22,31-12-2022,"February 17, 2024",Anticipated,17-02-2024,"January 12, 2024",Anticipated,12-01-2024,,Interventional,COMBINE 2,,"A Research Study to See How Well the New Weekly Medicine IcoSema, Which is a Combination of Insulin Icodec and Semaglutide, Controls Blood Sugar Level in People With Type 2 Diabetes Compared to Weekly Semaglutide (COMBINE 2)","A 52 Week Study Comparing the Efficacy and Safety of Once Weekly IcoSema and Once Weekly Semaglutide, Both Treatment Arms With or Without Oral Anti Diabetic Drugs, in Participants With Type 2 Diabetes Inadequately Controlled With a GLP 1 Receptor Agonist. COMBINE 2",Recruiting,,Phase 3,680,Anticipated,Novo Nordisk A/S,,2,,,FALSE,,,,FALSE,TRUE,FALSE,,,,,,,,http://novonordisk-trials.com,Yes,"""According to the Novo Nordisk disclosure commitment on novonordisk-trials.com""",2022-12-15 00:18:57.770,2022-12-15 00:18:57.770,INDUSTRY,,,,,
NCT05260021,,25-02-2022,,,09-12-2022,25-02-2022,02-03-2022,Actual,,,,,,,09-12-2022,12-12-2022,Actual,"April 13, 2022",Actual,13-04-2022,Dec-22,31-12-2022,"December 31, 2027",Anticipated,31-12-2027,"November 30, 2027",Anticipated,30-11-2027,,Interventional,SURPASS-PEDS,,A Study to Evaluate Tirzepatide (LY3298176) in Pediatric and Adolescent Participants With Type 2 Diabetes Mellitus Inadequately Controlled With Metformin or Basal Insulin or Both,"A Randomized, Double-Blind, Placebo-Controlled, Phase 3 Study With an Open-Label Extension Assessing the Efficacy, Safety, and Pharmacokinetics/Pharmacodynamics of Tirzepatide in Pediatric and Adolescent Participants With Type 2 Diabetes Mellitus Inadequately Controlled With Metformin, or Basal Insulin, or Both",Recruiting,,Phase 3,90,Anticipated,Eli Lilly and Company,,3,,,FALSE,,,,TRUE,TRUE,FALSE,,,,,,"Data are available 6 months after the primary publication and approval of the indication studied in the US and European Union (EU), whichever is later. Data will be indefinitely available for requesting.",A research proposal must be approved by an independent review panel and researchers must sign a data sharing agreement.,http://vivli.org/,Yes,Anonymized individual patient level data will be provided in a secure access environment upon approval of a research proposal and a signed data sharing agreement.,2022-12-15 00:18:56.600,2022-12-15 00:18:56.600,INDUSTRY,,,,,
NCT05433584,,22-06-2022,,,09-12-2022,22-06-2022,27-06-2022,Actual,,,,,,,09-12-2022,12-12-2022,Actual,"August 1, 2022",Actual,01-08-2022,Dec-22,31-12-2022,"June 7, 2027",Anticipated,07-06-2027,"May 9, 2025",Anticipated,09-05-2025,,Interventional,SURPASS-EARLY,,A Study of Tirzepatide Compared With Intensified Conventional Care in Adult Participants With Type 2 Diabetes,"A Randomized, Open-Label, Parallel-Group, Two-Arm, Phase 4 Study to Evaluate the Long-Term Efficacy and Safety of Tirzepatide Compared With Intensified Conventional Care in Adults When Initiating Treatment Early in the Course of Type 2 Diabetes",Recruiting,,Phase 4,780,Anticipated,Eli Lilly and Company,,2,,,FALSE,,,,FALSE,TRUE,FALSE,,,,,,"Data are available 6 months after the primary publication and approval of the indication studied in the US and EU, whichever is later. Data will be indefinitely available for requesting.",A research proposal must be approved by an independent review panel and researchers must sign a data sharing agreement.,http://vivli.org/,Yes,Anonymized individual patient level data will be provided in a secure access environment upon approval of a research proposal and a signed data sharing agreement.,2022-12-15 00:15:22.190,2022-12-15 00:15:22.190,INDUSTRY,,,,,
NCT05441267,,27-06-2022,,,09-11-2022,27-06-2022,01-07-2022,Actual,,,,,,,09-11-2022,10-11-2022,Actual,Dec-22,Anticipated,31-12-2022,Jun-22,30-06-2022,"August 17, 2048",Anticipated,17-08-2048,"August 17, 2028",Anticipated,17-08-2028,,Interventional,ASCEND PLUS,,A Study of Cardiovascular Events iN Diabetes Plus,A Study of Cardiovascular Events iN Diabetes Plus,Not yet recruiting,,Phase 4,20000,Anticipated,University of Oxford,,2,,,FALSE,,,,TRUE,FALSE,FALSE,,,,,,After publication of results,Procedures for accessing the data for this study are available on: https://www.ndph.ox.ac.uk/data-access,https://www.ndph.ox.ac.uk/data-access,Yes,Proposals for substudies must be approved by the Steering Committee.,2022-12-02 09:43:12.298,2022-12-02 09:43:12.298,OTHER,,,,,
